GPS time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0
2024 04 13 16 51 50.4173446,G32,21448897.93027,-1274.21327,44.10027,21446543.06025,-951.72125
2024 04 13 16 51 50.4173446,C43,22349566.81027,1729.85827,42.50027,22347681.11526,1303.41426
2024 04 13 16 51 50.4173446,C42,21860852.34028,391.91628,48.80028,21858967.84425,295.11925
2024 04 13 16 51 50.4173446,C39,38996589.01625,776.05025,34.20025,38994690.43025,585.80025
2024 04 13 16 51 50.4173446,C34,21741604.19326,-1081.16726,41.10026,21739716.70025,-815.01425
2024 04 13 16 51 50.4173446,C33,25060901.79125,2647.70025,32.60025,25059027.18925,1996.17525
2024 04 13 16 51 50.4173446,C21,23416375.27327,-2037.08627,45.70027,23414484.48225,-1535.55925
2024 04 13 16 51 50.4173446,E10,25671289.72927,2200.13827,41.90027,25669384.24826,1642.89026
2024 04 13 16 51 50.4173446,E12,24347671.55025,1504.81225,33.90025,24345767.56925,1123.73525
2024 04 13 16 51 50.4173446,E24,28322089.11826,-1734.27326,41.20026,28320187.53525,-1295.55025
2024 04 13 16 51 50.4173446,E33,24344265.90825,-665.19925,33.60025,24342361.32724,-496.10024
2024 04 13 16 51 51.4173447,G03,24051795.09827,2624.11027,45.00027,24049451.62126,1959.55826
2024 04 13 16 51 51.4173447,G08,21136667.19928,-904.39428,49.60028,21134318.02626,-675.41226
2024 04 13 16 51 51.4173447,G27,22151124.10627,-2834.39327,45.00027,22148771.33426,-2116.66926
2024 04 13 16 51 51.4173447,G32,21449170.25827,-1275.96027,41.90027,21446813.29025,-953.03225
2024 04 13 16 51 51.4173447,C43,22349262.33727,1728.18827,42.20027,22347379.04125,1302.44225
2024 04 13 16 51 51.4173447,C42,21860805.38928,390.33928,48.10028,21858921.79324,294.00124
2024 04 13 16 51 51.4173447,C39,38996466.81725,777.35025,33.40025,38994573.32825,584.17425
2024 04 13 16 51 51.4173447,C34,21741840.84626,-1082.92326,40.20026,21739952.45425,-816.59025
2024 04 13 16 51 51.4173447,C33,25060403.05425,2648.70025,31.30025,25058547.33825,1995.19725
2024 04 13 16 51 51.4173447,C21,23416801.39527,-2038.51527,43.90027,23414905.80825,-1536.22325
2024 04 13 16 51 51.4173447,E10,25670902.21427,2198.88427,42.00027,25668995.23426,1642.02526
2024 04 13 16 51 51.4173447,E12,24347417.14425,1503.34625,32.80025,24345510.46425,1122.64725
2024 04 13 16 51 51.4173447,E24,28322450.18526,-1735.55826,39.20026,28320548.60225,-1296.11525
2024 04 13 16 51 51.4173447,E33,24344429.41225,-670.68825,33.20025,24342518.53525,-498.18025
2024 04 13 16 51 52.4173448,G03,24051323.60227,2624.14027,44.40027,24048982.82326,1959.54526
2024 04 13 16 51 52.4173448,G08,21136871.73528,-904.71828,48.90028,21134520.76326,-675.73226
2024 04 13 16 51 52.4173448,G27,22151695.28827,-2834.37927,44.30027,22149339.81825,-2116.73625
2024 04 13 16 51 52.4173448,G28,23873374.29426,2656.13826,36.80026,23871030.51723,1984.95023
2024 04 13 16 51 52.4173448,G32,21449439.54927,-1276.18927,41.90027,21447088.87625,-953.17025
2024 04 13 16 51 52.4173448,C43,22348961.12327,1728.16027,41.80027,22347076.02825,1301.89025
2024 04 13 16 51 52.4173448,C42,21860761.39727,390.24627,47.40027,21858876.60224,294.20024
2024 04 13 16 51 52.4173448,C39,38996340.38225,776.35025,33.60025,38994454.68825,583.76525
2024 04 13 16 51 52.4173448,C34,21742077.16026,-1083.13026,40.30026,21740191.16625,-816.61525
2024 04 13 16 51 52.4173448,C33,25059942.65025,2648.55025,30.50025,25058069.24725,1994.89525
2024 04 13 16 51 52.4173448,C21,23417217.88427,-2038.39827,42.90027,23415326.19425,-1536.65425
2024 04 13 16 51 52.4173448,E10,25670516.15927,2198.98627,42.30027,25668607.08026,1642.09326
2024 04 13 16 51 52.4173448,E12,24347158.50025,1503.38325,31.50025,24345254.21825,1122.74425
2024 04 13 16 51 52.4173448,E24,28322807.61526,-1735.52126,39.00026,28320907.83125,-1296.02725
2024 04 13 16 51 52.4173448,E33,24344586.58125,-665.55025,30.80025,24342676.60325,-498.12725
2024 04 13 16 51 53.4173449,G03,24050855.51127,2636.77227,44.40027,24048512.93325,1969.80325
2024 04 13 16 51 53.4173449,G08,21137071.88128,-892.76928,48.90028,21134721.80826,-665.70826
2024 04 13 16 51 53.4173449,G27,22152262.37927,-2822.17327,43.90027,22149907.51025,-2106.45725
2024 04 13 16 51 53.4173449,G32,21449707.14826,-1264.12226,40.30026,21447360.67325,-941.87825
2024 04 13 16 51 53.4173449,C43,22348655.81927,1740.06027,42.60027,22346773.72225,1313.99825
2024 04 13 16 51 53.4173449,C42,21860713.31527,402.23327,47.20027,21858828.52024,301.80024
2024 04 13 16 51 53.4173449,C39,38996228.14525,788.79125,34.30025,38994332.55725,596.32925
2024 04 13 16 51 53.4173449,C34,21742312.68226,-1071.13226,39.40026,21740426.08825,-805.32925
2024 04 13 16 51 53.4173449,C33,25059446.97725,2658.70025,30.50025,25057590.06325,2004.87225
2024 04 13 16 51 53.4173449,C21,23417642.57527,-2025.86827,42.80027,23415746.68725,-1524.34125
2024 04 13 16 51 53.4173449,E10,25670126.61326,2212.94826,40.30026,25668216.03526,1652.56226
2024 04 13 16 51 53.4173449,E12,24346899.36425,1520.20925,30.20025,24344997.18125,1134.58225
2024 04 13 16 51 53.4173449,E24,28323167.55126,-1721.74326,37.40026,28321266.86725,-1284.06625
2024 04 13 16 51 53.4173449,E33,24344742.65725,-657.95525,31.60025,24342830.88024,-489.00024
2024 04 13 16 51 54.4173451,G03,24050412.13427,2617.29827,45.20027,24048071.95426,1954.61626
2024 04 13 16 51 54.4173451,G08,21137303.33728,-912.64728,49.30028,21134954.16426,-681.29726
2024 04 13 16 51 54.4173451,G10,22795620.90826,-1901.27926,36.60026,22793257.04524,-1419.40024
2024 04 13 16 51 54.4173451,G27,22152859.58327,-2841.82127,45.10027,22150507.11126,-2121.88826
